State,Month,Measure,Units,Value
Nagaland,01-02-2021,Energy Requirement,MU,60
Odisha,01-02-2021,Energy Requirement,MU,2297
Puducherry,01-02-2021,Energy Requirement,MU,206
Punjab,01-02-2021,Energy Requirement,MU,3620
Rajasthan,01-02-2021,Energy Requirement,MU,7408
Sikkim,01-02-2021,Energy Requirement,MU,50
Tamil Nadu,01-02-2021,Energy Requirement,MU,8368
Telangana,01-02-2021,Energy Requirement,MU,6837
Tripura,01-02-2021,Energy Requirement,MU,158
Uttar Pradesh,01-02-2021,Energy Requirement,MU,8131
Uttarakhand,01-02-2021,Energy Requirement,MU,1094
West Bengal,01-02-2021,Energy Requirement,MU,3874
Andhra Pradesh,01-03-2021,Energy Met,MU,5933
Arunachal Pradesh,01-03-2021,Energy Met,MU,72
Assam,01-03-2021,Energy Met,MU,793
Bihar,01-03-2021,Energy Met,MU,2918
Chandigarh,01-03-2021,Energy Met,MU,99
Chhattisgarh,01-03-2021,Energy Met,MU,3279
DNH & DDU,01-03-2021,Energy Met,MU,835
Delhi,01-03-2021,Energy Met,MU,2077
Goa,01-03-2021,Energy Met,MU,364
Gujarat,01-03-2021,Energy Met,MU,11817
Haryana,01-03-2021,Energy Met,MU,3985
Himachal Pradesh,01-03-2021,Energy Met,MU,934
Jammu & Kashmir,01-03-2021,Energy Met,MU,1556
Jharkhand,01-03-2021,Energy Met,MU,892
Karnataka,01-03-2021,Energy Met,MU,7294
Kerala,01-03-2021,Energy Met,MU,2319
Madhya Pradesh,01-03-2021,Energy Met,MU,7145
Maharashtra,01-03-2021,Energy Met,MU,16375
Manipur,01-03-2021,Energy Met,MU,78
Meghalaya,01-03-2021,Energy Met,MU,172
Mizoram,01-03-2021,Energy Met,MU,53
Nagaland,01-03-2021,Energy Met,MU,64
Odisha,01-03-2021,Energy Met,MU,2942
Puducherry,01-03-2021,Energy Met,MU,227
Punjab,01-03-2021,Energy Met,MU,4044
Rajasthan,01-03-2021,Energy Met,MU,7258
Sikkim,01-03-2021,Energy Met,MU,51
Tamil Nadu,01-03-2021,Energy Met,MU,9477
Telangana,01-03-2021,Energy Met,MU,7574
Tripura,01-03-2021,Energy Met,MU,221
Uttar Pradesh,01-03-2021,Energy Met,MU,9837
Uttarakhand,01-03-2021,Energy Met,MU,1142
West Bengal,01-03-2021,Energy Met,MU,5373
Andhra Pradesh,01-03-2021,Energy Requirement,MU,5933
Arunachal Pradesh,01-03-2021,Energy Requirement,MU,72
Assam,01-03-2021,Energy Requirement,MU,838
Bihar,01-03-2021,Energy Requirement,MU,2939
Chandigarh,01-03-2021,Energy Requirement,MU,99
Chhattisgarh,01-03-2021,Energy Requirement,MU,3287
DNH & DDU,01-03-2021,Energy Requirement,MU,835
Delhi,01-03-2021,Energy Requirement,MU,2077
Goa,01-03-2021,Energy Requirement,MU,364
Gujarat,01-03-2021,Energy Requirement,MU,11817
Haryana,01-03-2021,Energy Requirement,MU,3992
Himachal Pradesh,01-03-2021,Energy Requirement,MU,936
Jammu & Kashmir,01-03-2021,Energy Requirement,MU,1832
Jharkhand,01-03-2021,Energy Requirement,MU,946
Karnataka,01-03-2021,Energy Requirement,MU,7294
Kerala,01-03-2021,Energy Requirement,MU,2319
Madhya Pradesh,01-03-2021,Energy Requirement,MU,7145
